"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","stimuli","key_presses","stim_durations","exp_stage","sequence","num_digits","mouse_click","response","condition","correct","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. This experiment will take less than 10 minutes. Press <strong>enter</strong> to begin.</p></div>","1490","13","1490","0","instruction","poldrack-text","0","1491","0.0-0.0-0.0","digit-span","true","0","","","","","","","","","","","","","","",""
"","35995","","","","instruction","poldrack-instructions","1","37487","0.0-0.0-1.0","digit-span","true","0","[{""page_index"":0,""viewing_time"":35995}]","","","","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","2","39491","0.0-1.0","digit-span","true","0","","<div class = centerbox><div class = center-text>3 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","3000","0","stim","poldrack-multi-stim-multi-response","3","43495","0.0-2.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","[800,800,800]","test","3,7,3","3","","","","",""
"","4548","","4548","500","response","single-stim-button","4","48045","0.0-3.0","digit-span","true","0","","","","4548","","","","test","3,7,3","3","SubmitButton","3,7,3","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","5","49548","0.0-4.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","6","51549","0.0-5.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","7","56552","0.0-6.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","[800,800,800,800]","test","4,7,1,6","4","","","","",""
"","3718","","3718","500","response","single-stim-button","8","60270","0.0-7.0","digit-span","true","0","","","","3718","","","","test","4,7,1,6","4","SubmitButton","4,7,1,6","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","9","61772","0.0-8.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","10","63773","0.0-9.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","11","69775","0.0-10.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","[800,800,800,800,800]","test","9,2,9,1,9","5","","","","",""
