"text","rt","key_press","block_duration","timing_post_trial","exp_id","trial_type","trial_index","time_elapsed","internal_node_id","full_screen","focus_shifts","view_history","exp_stage","trial_id","qnum","page_num","trial_num","stim_question","stim_response","score_response","response_range","times_viewed"
"<div class = centerbox><p class = center-block-text>Welcome to this survey.<br><br> Press <strong>enter</strong> to begin.</p></div>","1267","13","1267","0","ravens","poldrack-text","0","1268","0.0-0.0-0.0","true","0","","","","","","","","","","",""
"","61796","","","","ravens","poldrack-instructions","1","63065","0.0-0.0-1.0","true","0","[{""page_index"":0,""viewing_time"":24508},{""page_index"":1,""viewing_time"":34632},{""page_index"":2,""viewing_time"":2655}]","","","","","","","","","",""
"<div class = centerbox><p class = center-block-text>Starting with first example trial.  Press <strong> Enter </strong> to continue.</p></div>","2162","13","2162","0","ravens","poldrack-text","2","66229","0.0-1.0-0.0","true","0","","practice","feedback","","","","","","","",""
"","60786","","","","ravens","poldrack-survey-multi-choice","3","127017","0.0-1.0-1.0","","","","","","1","1","0","<div><img src = ""images/practice/practice_top_1.jpg""</img></div><div><img src = ""images/practice/practice_bottom_1.jpg"" id=""bottom_img""</img></div>","C","1","1,8","1"
"","60788","","","","ravens","poldrack-survey-multi-choice","3","127018","0.0-1.0-1.0","true","0","[{""page_index"":0,""viewing_time"":60786}]","","","","","","","","","",""
"<div class = centerbox><p class = center-block-text>That is correct. Please press <strong>Enter</strong> to continue.</p></div>","2199","13","2199","0","ravens","poldrack-text","4","130218","0.0-2.0","true","0","","practice","feedback","","","","","","","",""
"<div class = centerbox><p class = center-block-text>That is correct. Please press <strong>Enter</strong> to continue.</p></div>","2592","13","2592","0","ravens","poldrack-text","5","132810","0.0-3.0-0.0","true","0","","practice","feedback","","","","","","","",""
"","19435","","","","ravens","poldrack-survey-multi-choice","6","152245","0.0-3.0-1.0","","","","","","1","1","0","<div><img src = ""images/practice/practice_top_2.jpg""</img></div><div><img src = ""images/practice/practice_bottom_2.jpg"" id=""bottom_img""</img></div>","F","1","1,8","1"
"","19436","","","","ravens","poldrack-survey-multi-choice","6","152246","0.0-3.0-1.0","true","0","[{""page_index"":0,""viewing_time"":19435}]","","","","","","","","","",""
"<div class = centerbox><p class = center-block-text>That is correct. Please press <strong>Enter</strong> to continue.</p></div>","1561","13","1561","0","ravens","poldrack-text","7","154809","0.0-4.0","true","0","","practice","feedback","","","","","","","",""
"<div class = centerbox><p class = center-block-text>You are now ready to begin the test trials.<br><br>Press <strong> Enter </strong> to continue.</p></div>","1200","13","1200","0","ravens","poldrack-text","8","156009","0.0-5.0","true","0","","","","","","","","","","",""
