block_num,con_num,trial,forced_choice,show_points,even_uneven,num_segments,selected_segment,selected_prob,win,RT
1,8,1,1,0,0,8,4,0.34,0,5.63012314331718
1,8,2,1,0,0,8,8,0.46,1,1.3146604092326
1,8,3,1,0,0,8,4,0.34,0,1.04855738370679
1,8,4,1,0,0,8,5,0.51,1,1.0280303535983
1,8,5,1,0,0,8,7,0.56,1,4.66490053501911
1,8,6,1,0,0,8,7,0.56,0,1.30343782831915
1,8,7,1,0,0,8,2,0.38,0,1.05618533724919
1,8,8,1,0,0,8,4,0.34,0,0.941130275372416
1,8,9,0,0,0,8,8,0.46,0,1.26254769298248
1,8,10,0,0,0,8,7,0.56,1,1.15329511929303
1,8,11,0,0,0,8,6,0.42,1,1.38291698554531
1,8,12,0,0,0,8,8,0.46,0,0.76691458770074
1,8,13,0,0,0,8,8,0.46,1,1.5663954813499
1,8,14,0,0,0,8,5,0.51,0,0.983937955927104
1,8,15,0,0,0,8,1,0.64,1,1.88400508021004
1,8,16,0,0,0,8,5,0.51,1,1.43090869486332
1,8,17,0,0,0,8,1,0.64,1,1.26597604947165
1,8,18,0,0,0,8,8,0.46,0,1.13255695090629
1,8,19,0,0,0,8,3,0.69,0,2.05282853334211
1,8,20,0,0,0,8,2,0.38,1,1.49969751527533
1,8,21,0,0,0,8,5,0.51,0,0.966686206869781
1,8,22,0,0,0,8,4,0.34,0,1.01666202838533
1,8,23,0,0,0,8,6,0.42,1,1.00737664033659
1,8,24,0,0,0,8,8,0.46,1,1.18390106526203
1,8,25,0,0,0,8,2,0.38,1,1.18129116296768
1,8,26,0,0,0,8,4,0.34,1,0.96764688543044
1,8,27,0,0,0,8,5,0.51,0,1.84970626863651
1,8,28,0,0,0,8,7,0.56,0,0.893122437410057
1,8,29,0,0,0,8,6,0.42,0,0.865496472455561
1,8,30,0,0,0,8,3,0.69,0,1.70966300275177
1,8,31,0,0,0,8,2,0.38,1,1.22476774058305
1,8,32,0,0,0,8,8,0.46,0,0.865636644652113
1,8,33,0,0,0,8,1,0.64,0,1.09940854925662
1,8,34,0,0,0,8,5,0.51,1,1.38523217430338
1,8,35,0,0,0,8,3,0.69,0,1.15615574852563
1,8,36,0,0,0,8,4,0.34,0,0.891465882537887
1,8,37,0,0,0,8,6,0.42,0,1.21667850902304
1,8,38,0,0,0,8,7,0.56,0,0.997635545674711
2,3,1,1,1,0,4,3,0.43,0,1.72887276532128
2,3,2,1,1,0,4,1,0.65,0,1.17428284138441
2,3,3,1,1,0,4,4,0.56,1,0.81267966912128
2,3,4,1,1,0,4,1,0.65,0,0.967777673853561
2,3,5,0,1,0,4,4,0.56,0,0.846370578510687
2,3,6,0,1,0,4,2,0.36,0,0.73309201025404
2,3,7,0,1,0,4,3,0.43,0,1.19869422772899
2,3,8,0,1,0,4,3,0.43,1,1.74699487304315
2,3,9,0,1,0,4,3,0.43,1,1.38302108831704
2,3,10,0,1,0,4,1,0.65,0,1.04567915969528
2,3,11,0,1,0,4,2,0.36,1,1.04929255507886
2,3,12,0,1,0,4,4,0.56,1,1.33293500542641
2,3,13,0,1,0,4,3,0.43,1,0.79949848819524
2,3,14,0,1,0,4,1,0.65,0,0.982498697238043
2,3,15,0,1,0,4,2,0.36,1,0.833857708610594
2,3,16,0,1,0,4,4,0.56,0,0.750512376660481
2,3,17,0,1,0,4,3,0.43,1,0.669844980584458
2,3,18,0,1,0,4,1,0.65,0,1.14940988342278
2,3,19,0,1,0,4,4,0.56,1,1.07515522302128
2,3,20,0,1,0,4,4,0.56,1,1.68294551852159
2,3,21,0,1,0,4,1,0.65,0,1.12664596131071
2,3,22,0,1,0,4,2,0.36,1,0.816404498647898
2,3,23,0,1,0,4,1,0.65,0,1.4417283537332
2,3,24,0,1,0,4,3,0.43,1,1.24305553315207
2,3,25,0,1,0,4,1,0.65,1,0.883498348528519
2,3,26,0,1,0,4,4,0.56,1,1.68331823591143
2,3,27,0,1,0,4,1,0.65,1,1.16658656136133
2,3,28,0,1,0,4,1,0.65,1,1.55071055330336
2,3,29,0,1,0,4,1,0.65,1,1.31679319799878
2,3,30,0,1,0,4,3,0.43,0,0.61065620277077
2,3,31,0,1,0,4,4,0.56,0,0.760794806294143
2,3,32,0,1,0,4,2,0.36,1,1.08803787804209
2,3,33,0,1,0,4,4,0.56,0,0.929020914249122
2,3,34,0,1,0,4,4,0.56,1,0.971797803649679
3,5,1,1,0,1,4,4,0.65,1,2.15179281239398
3,5,2,1,0,1,4,2,0.56,0,0.828059326391667
3,5,3,1,0,1,4,3,0.36,0,0.756127186119556
3,5,4,1,0,1,4,1,0.43,0,1.23497627186589
3,5,5,0,0,1,4,4,0.65,0,0.737357588019222
3,5,6,0,0,1,4,4,0.65,1,0.817556081339717
3,5,7,0,0,1,4,2,0.56,0,1.12945058033802
3,5,8,0,0,1,4,3,0.36,0,0.918170757591724
3,5,9,0,0,1,4,1,0.43,0,1.18522888980806
3,5,10,0,0,1,4,1,0.43,1,1.46801476436667
3,5,11,0,0,1,4,3,0.36,0,1.00074690114707
3,5,12,0,0,1,4,4,0.65,0,1.20181203470565
3,5,13,0,0,1,4,2,0.56,0,1.21850983961485
3,5,14,0,0,1,4,3,0.36,1,1.202404394513
3,5,15,0,0,1,4,4,0.65,0,1.20140412752517
