"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","correct_response","condition","exp_stage","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. Press <strong>enter</strong> to begin.</p></div>","1288","13","1288","0","instruction","poldrack-text","0","1289","0.0-0.0-0.0","multisource","true","0","","","","","","","",""
"","98445","","","","instruction","poldrack-instructions","1","99737","0.0-0.0-1.0","multisource","true","0","[{""page_index"":0,""viewing_time"":51787},{""page_index"":1,""viewing_time"":46658}]","","","","","","",""
"","949","50","1750","500","large_right","poldrack-single-stim","2","102491","0.0-1.0-0.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","497","49","1750","500","large_middle","poldrack-single-stim","3","104742","0.0-1.0-1.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","653","49","1750","500","large_middle","poldrack-single-stim","4","106993","0.0-1.0-2.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","651","51","1750","500","small_middle","poldrack-single-stim","5","109245","0.0-1.0-3.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","590","49","1750","500","large_middle","poldrack-single-stim","6","111496","0.0-1.0-4.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","572","51","1750","500","small_middle","poldrack-single-stim","7","113747","0.0-1.0-5.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","656","49","1750","500","large_middle","poldrack-single-stim","8","115998","0.0-1.0-6.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","621","50","1750","500","large_right","poldrack-single-stim","9","118249","0.0-1.0-7.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","698","50","1750","500","large_right","poldrack-single-stim","10","120499","0.0-1.0-8.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","657","49","1750","500","large_middle","poldrack-single-stim","11","122751","0.0-1.0-9.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","453","50","1750","500","large_right","poldrack-single-stim","12","125002","0.0-1.0-10.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","559","49","1750","500","large_middle","poldrack-single-stim","13","127255","0.0-1.0-11.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","797","51","1750","500","small_middle","poldrack-single-stim","14","129505","0.0-1.0-12.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","619","51","1750","500","small_middle","poldrack-single-stim","15","131756","0.0-1.0-13.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","527","51","1750","500","small_middle","poldrack-single-stim","16","134008","0.0-1.0-14.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","757","50","1750","500","large_right","poldrack-single-stim","17","136258","0.0-1.0-15.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","641","49","1750","500","large_middle","poldrack-single-stim","18","138509","0.0-1.0-16.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","670","51","1750","500","small_middle","poldrack-single-stim","19","140760","0.0-1.0-17.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","635","50","1750","500","large_right","poldrack-single-stim","20","143011","0.0-1.0-18.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","697","51","1750","500","small_middle","poldrack-single-stim","21","145261","0.0-1.0-19.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","1334","51","1750","500","large_right","poldrack-single-stim","22","147513","0.0-2.0-0.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >11<span class = big>2</span></div></div>","49,50,51,97,98,99","1750","50,98","practice_interference","practice",""
"","683","49","1750","500","large_left","poldrack-single-stim","23","149764","0.0-2.0-1.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>3</span>11</div></div>","49,50,51,97,98,99","1750","51,99","practice_interference","practice",""
"","-1","-1","1750","500","small_middle","poldrack-single-stim","24","152014","0.0-2.0-2.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >3<span class = small>1</span>2</div></div>","49,50,51,97,98,99","1750","49,97","practice_interference","practice",""
"","1109","51","1750","500","large_right","poldrack-single-stim","25","154265","0.0-2.0-3.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >33<span class = big>2</span></div></div>","49,50,51,97,98,99","1750","50,98","practice_interference","practice",""
"","1426","49","1750","500","small_right","poldrack-single-stim","26","156516","0.0-2.0-4.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >33<span class = small>1</span></div></div>","49,50,51,97,98,99","1750","49,97","practice_interference","practice",""
"","1000","49","1750","500","large_middle","poldrack-single-stim","27","158767","0.0-2.0-5.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >2<span class = big>1</span>2</div></div>","49,50,51,97,98,99","1750","49,97","practice_interference","practice",""
"","964","50","1750","500","large_left","poldrack-single-stim","28","161018","0.0-2.0-6.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>2</span>33</div></div>","49,50,51,97,98,99","1750","50,98","practice_interference","practice",""
"","1537","50","1750","500","small_right","poldrack-single-stim","29","163270","0.0-2.0-7.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >33<span class = small>2</span></div></div>","49,50,51,97,98,99","1750","50,98","practice_interference","practice",""
"","1181","51","1750","500","small_middle","poldrack-single-stim","30","165521","0.0-2.0-8.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >2<span class = small>3</span>2</div></div>","49,50,51,97,98,99","1750","51,99","practice_interference","practice",""
"","987","51","1750","500","large_middle","poldrack-single-stim","31","167772","0.0-2.0-9.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >1<span class = big>3</span>1</div></div>","49,50,51,97,98,99","1750","51,99","practice_interference","practice",""
"","815","51","1750","500","large_middle","poldrack-single-stim","32","170023","0.0-2.0-10.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >2<span class = big>3</span>2</div></div>","49,50,51,97,98,99","1750","51,99","practice_interference","practice",""
"","820","49","1750","500","large_right","poldrack-single-stim","33","172274","0.0-2.0-11.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >33<span class = big>1</span></div></div>","49,50,51,97,98,99","1750","49,97","practice_interference","practice",""
"","890","51","1750","500","large_left","poldrack-single-stim","34","174524","0.0-2.0-12.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>3</span>22</div></div>","49,50,51,97,98,99","1750","51,99","practice_interference","practice",""
"","-1","-1","1750","500","small_left","poldrack-single-stim","35","176776","0.0-2.0-13.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = small>2</span>33</div></div>","49,50,51,97,98,99","1750","50,98","practice_interference","practice",""
