block_num,con_num,trial,free_choice,show_points,even_uneven,num_segments,selected_segment,selected_prob,win
1,6,1,1,0,1,8,4,0.54,0
1,6,2,1,0,1,8,4,0.54,1
1,6,3,1,0,1,8,4,0.54,1
1,6,4,1,0,1,8,2,0.43,1
1,6,5,1,0,1,8,5,0.49,0
1,6,6,1,0,1,8,5,0.49,1
1,6,7,1,0,1,8,3,0.51,1
1,6,8,1,0,1,8,5,0.49,1
1,6,9,0,0,1,8,7,0.57,1
1,6,10,0,0,1,8,6,0.6,1
1,6,11,0,0,1,8,5,0.49,1
1,6,12,0,0,1,8,5,0.49,0
1,6,13,0,0,1,8,4,0.54,0
1,6,14,0,0,1,8,8,0.4,0
1,6,15,0,0,1,8,7,0.4,1
1,6,16,0,0,1,8,3,0.51,0
1,6,17,0,0,1,8,2,0.43,0
1,6,18,0,0,1,8,8,0.4,0
1,6,19,0,0,1,8,3,0.51,0
1,6,20,0,0,1,8,1,0.46,1
1,6,21,0,0,1,8,3,0.51,0
1,6,22,0,0,1,8,6,0.6,0
1,6,23,0,0,1,8,3,0.51,1
1,6,24,0,0,1,8,7,0.57,1
1,6,25,0,0,1,8,7,0.57,1
1,6,26,0,0,1,8,6,0.6,1
1,6,27,0,0,1,8,6,0.6,1
1,6,28,0,0,1,8,3,0.51,1
1,6,29,0,0,1,8,1,0.46,1
1,6,30,0,0,1,8,1,0.46,1
1,6,31,0,0,1,8,3,0.51,0
1,6,32,0,0,1,8,8,0.4,0
1,6,33,0,0,1,8,2,0.43,0
1,6,34,0,0,1,8,3,0.51,1
1,6,35,0,0,1,8,2,0.43,1
1,6,36,0,0,1,8,1,0.46,1
1,6,37,0,0,1,8,7,0.57,1
1,6,38,0,0,1,8,8,0.4,0
1,6,39,0,0,1,8,0,0,0
2,3,1,1,1,0,4,1,0.4,0
2,3,2,1,1,0,4,3,0.6,1
2,3,3,1,1,0,4,2,0.53,0
2,3,4,1,1,0,4,4,0.47,1
2,3,5,0,1,0,4,2,0.53,1
2,3,6,0,1,0,4,1,0.4,0
2,3,7,0,1,0,4,1,0.4,0
2,3,8,0,1,0,4,4,0.47,1
2,3,9,0,1,0,4,1,0.4,1
2,3,10,0,1,0,4,1,0.4,0
2,3,11,0,1,0,4,1,0.4,1
2,3,12,0,1,0,4,1,0.4,1
2,3,13,0,1,0,4,3,0.6,0
2,3,14,0,1,0,4,2,0.53,0
2,3,15,0,1,0,4,3,0.6,1
2,3,16,0,1,0,4,1,0.4,1
2,3,17,0,1,0,4,1,0.4,1
2,3,18,0,1,0,4,4,0.47,0
2,3,19,0,1,0,4,3,0.6,0
2,3,20,0,1,0,4,3,0.6,1
2,3,21,0,1,0,4,4,0.47,0
2,3,22,0,1,0,4,1,0.4,0
2,3,23,0,1,0,4,4,0.47,0
2,3,24,0,1,0,4,3,0.6,0
2,3,25,0,1,0,4,4,0.47,0
2,3,26,0,1,0,4,2,0.53,1
2,3,27,0,1,0,4,1,0.4,1
2,3,28,0,1,0,4,3,0.6,0
2,3,29,0,1,0,4,2,0.53,1
2,3,30,0,1,0,4,2,0.53,0
2,3,31,0,1,0,4,4,0.47,0
2,3,32,0,1,0,4,2,0.53,1
2,3,33,0,1,0,4,1,0.4,1
2,3,34,0,1,0,4,1,0.4,0
2,3,35,0,1,0,4,0,0,0
3,4,1,1,1,0,8,1,0.49,1
3,4,2,1,1,0,8,3,0.46,0
3,4,3,1,1,0,8,4,0.6,1
3,4,4,1,1,0,8,1,0.49,1
3,4,5,1,1,0,8,5,0.57,1
3,4,6,1,1,0,8,5,0.57,0
3,4,7,1,1,0,8,8,0.54,0
3,4,8,1,1,0,8,1,0.49,1
3,4,9,0,1,0,8,8,0.54,1
3,4,10,0,1,0,8,6,0.43,0
3,4,11,0,1,0,8,5,0.57,1
3,4,12,0,1,0,8,7,0.51,0
3,4,13,0,1,0,8,8,0.54,0
3,4,14,0,1,0,8,6,0.43,1
3,4,15,0,1,0,8,7,0.51,1
3,4,16,0,1,0,8,8,0.54,1
3,4,17,0,1,0,8,8,0.54,1
3,4,18,0,1,0,8,2,0.4,1
3,4,19,0,1,0,8,3,0.46,0
3,4,20,0,1,0,8,8,0.54,1
3,4,21,0,1,0,8,3,0.46,1
3,4,22,0,1,0,8,8,0.54,0
3,4,23,0,1,0,8,6,0.43,1
3,4,24,0,1,0,8,6,0.43,1
3,4,25,0,1,0,8,2,0.4,1
3,4,26,0,1,0,8,6,0.43,0
3,4,27,0,1,0,8,5,0.57,1
3,4,28,0,1,0,8,7,0.51,1
3,4,29,0,1,0,8,6,0.43,1
3,4,30,0,1,0,8,6,0.43,1
3,4,31,0,1,0,8,4,0.6,0
3,4,32,0,1,0,8,5,0.57,0
3,4,33,0,1,0,8,4,0.6,1
3,4,34,0,1,0,8,7,0.51,0
3,4,35,0,1,0,8,8,0.54,1
3,4,36,0,1,0,8,1,0.49,0
3,4,37,0,1,0,8,7,0.51,0
3,4,38,0,1,0,8,6,0.43,1
3,4,39,0,1,0,8,0,0,0
4,8,1,1,0,0,8,4,0.51,1
4,8,2,1,0,0,8,1,0.46,1
4,8,3,1,0,0,8,5,0.57,0
4,8,4,1,0,0,8,7,0.43,1
4,8,5,1,0,0,8,5,0.57,0
4,8,6,1,0,0,8,2,0.54,0
4,8,7,1,0,0,8,8,0.6,1
4,8,8,1,0,0,8,1,0.46,1
4,8,9,0,0,0,8,4,0.51,1
4,8,10,0,0,0,8,5,0.57,0
4,8,11,0,0,0,8,7,0.43,0
4,8,12,0,0,0,8,6,0.49,0
4,8,13,0,0,0,8,4,0.57,1
4,8,14,0,0,0,8,2,0.54,1
4,8,15,0,0,0,8,6,0.49,1
4,8,16,0,0,0,8,2,0.54,1
4,8,17,0,0,0,8,1,0.46,1
4,8,18,0,0,0,8,8,0.6,0
4,8,19,0,0,0,8,6,0.49,1
4,8,20,0,0,0,8,2,0.54,1
4,8,21,0,0,0,8,6,0.49,0
4,8,22,0,0,0,8,2,0.54,0
4,8,23,0,0,0,8,3,0.4,0
4,8,24,0,0,0,8,4,0.51,0
